0.6, 0, 0, 1
0.32, 0, -1, 1
0.64, 0, -1, 1
1.2, 0, 0, 1
-0.32, 5, -1, 1
-0.64, 5, -1, 1
-0.832, 4.8, -1.3, 1
-0.416, 4.8, -1.3, 1
-1.2, 3.75, -1e-06, 1
-1.2, 5, -1e-06, 1
-0.64, 5, -1, 1
-0.64, 3.75, -1, 1
0.32, 3.75, -1, 1
0.32, 5, -1, 1
0.64, 5, -1, 1
0.64, 3.75, -1, 1
1.2, 3.75, 0, 1
1.2, 5, 0, 1
0.64, 5, 1, 1
0.64, 3.75, 1, 1
0.32, 0, 1, 1
0.64, 0, 1, 1
0.64, 0, 1.53812, 1
0.32, 0, 1.53812, 1
0.64, 3.75, -1, 1
0.64, 5, -1, 1
1.2, 5, 0, 1
1.2, 3.75, 0, 1
-0.64, 3.75, 1, 1
-0.64, 5, 1, 1
-1.2, 5, -1e-06, 1
-1.2, 3.75, -1e-06, 1
-1.2, 5, -1e-06, 1
-0.64, 5, 1, 1
-0.832, 4.8, 1.3, 1
-1.56, 4.8, -1e-06, 1
0.32, 0, 1, 1
0.6, 0, 0, 1
1.2, 0, 0, 1
0.64, 0, 1, 1
-0.64, 5, -1, 1
-1.2, 5, -1e-06, 1
-1.56, 4.8, -1e-06, 1
-0.832, 4.8, -1.3, 1
1.2, 5, 0, 1
0.64, 5, -1, 1
0.832, 4.8, -1.3, 1
1.56, 4.8, 0, 1
0.64, 5, 1, 1
1.2, 5, 0, 1
1.56, 4.8, 0, 1
0.832, 4.8, 1.3, 1
0.32, 5, 1, 1
0.64, 5, 1, 1
0.832, 4.8, 1.3, 1
0.416, 4.8, 1.3, 1
-0, 4.8, 1.3, 1
0.416, 4.8, 1.3, 1
0.0416, 7, 0.13, 1
0, 7, 0.13, 1
-0.832, 4.8, 1.3, 1
-0.416, 4.8, 1.3, 1
-0.0416, 7, 0.13, 1
-0.0832, 7, 0.13, 1
0.416, 4.8, -1.3, 1
0, 4.8, -1.3, 1
0, 7, -0.13, 1
0.0416, 7, -0.13, 1
-0.416, 4.8, -1.3, 1
-0.832, 4.8, -1.3, 1
-0.0832, 7, -0.13, 1
-0.0416, 7, -0.13, 1
-0.416, 4.8, 1.3, 1
-0, 4.8, 1.3, 1
0, 7, 0.13, 1
-0.0416, 7, 0.13, 1
0.416, 4.8, 1.3, 1
0.832, 4.8, 1.3, 1
0.0832, 7, 0.13, 1
0.0416, 7, 0.13, 1
-0.644137, 1.025, 1, 1
-0.64, 1.25, 1, 1
-1.2, 1.25, -0, 1
-1.2, 1.025, -0, 1
0.64, 1.025, -1, 1
0.64, 1.25, -1, 1
1.2, 1.25, 0, 1
1.2, 1.025, 0, 1
0.32, 2.56667, 1, 1
0.32, 1.35, 1, 1
0.64, 1.25, 1, 1
0.64, 2.5, 1, 1
1.2, 1.025, 0, 1
1.2, 1.25, 0, 1
0.64, 1.25, 1, 1
0.64, 1.025, 1, 1
0.32, 1.025, -1, 1
0.32, 1.25, -1, 1
0.64, 1.25, -1, 1
0.64, 1.025, -1, 1
-1.2, 1.025, -0, 1
-1.2, 1.25, -0, 1
-0.64, 1.25, -1, 1
-0.64, 1.025, -1, 1
0.32, 1.075, 1.53812, 1
0.32, 0, 1.53812, 1
0.64, 0, 1.53812, 1
0.64, 1.025, 1.53812, 1
-0.32, 1.35, 1, 1
-0.64, 1.25, 1, 1
-0.64, 1.25, 1.53812, 1
-0.32, 1.35, 1.53812, 1
-0.644137, 1.025, 1, 1
-0.64, 0, 1, 1
-0.64, 0, 1.53812, 1
-0.64, 1.025, 1.53812, 1
